N;K;peaks;maxValue;minValue
7;1;2;0.68227;0.424728
7;1;3;0.700812;0.389433
7;1;2;0.672035;0.162117
7;1;1;0.835272;0.209865
7;1;2;0.734219;0.216488
7;1;2;0.762572;0.34493
7;1;4;0.728478;0.344631
7;1;4;0.786242;0.395562
7;1;1;0.672951;0.319691
7;1;2;0.675197;0.276924
7;1;3;0.771949;0.256531
7;1;2;0.691955;0.309135
7;1;3;0.64171;0.247806
7;1;1;0.794808;0.262727
7;1;1;0.694121;0.35756
7;1;4;0.736045;0.361335
7;1;2;0.675678;0.325174
7;1;3;0.691346;0.287794
7;1;1;0.669764;0.169683
7;1;2;0.701397;0.301509
7;1;1;0.853282;0.411479
7;1;2;0.664487;0.305058
7;1;2;0.735122;0.293565
7;1;3;0.647119;0.244206
7;1;3;0.721191;0.320199
7;1;2;0.673106;0.363456
7;1;6;0.693764;0.370128
7;1;4;0.553211;0.275169
7;1;2;0.714439;0.421594
7;1;3;0.761273;0.320517
7;1;2;0.737581;0.385482
7;1;3;0.757644;0.228158
7;1;2;0.766679;0.304773
7;1;4;0.71379;0.291194
7;1;2;0.575199;0.199454
7;1;2;0.782819;0.357606
7;1;1;0.715994;0.281687
7;1;2;0.748961;0.327487
7;1;2;0.748748;0.355132
7;1;2;0.725212;0.370747
7;1;2;0.71091;0.343477
7;1;1;0.580696;0.255056
7;1;4;0.62878;0.306851
7;1;2;0.685608;0.316207
7;1;2;0.764513;0.244187
7;1;4;0.585507;0.189597
7;1;2;0.63649;0.354231
7;1;1;0.745442;0.231367
7;1;2;0.554296;0.298901
7;1;1;0.753687;0.403834
7;1;3;0.764018;0.346188
7;1;2;0.697706;0.248715
7;1;4;0.867025;0.35419
7;1;2;0.779587;0.470695
7;1;1;0.650229;0.155274
7;1;2;0.717169;0.254652
7;1;1;0.771937;0.302066
7;1;2;0.835573;0.336396
7;1;2;0.748589;0.255685
7;1;2;0.724046;0.324109
7;1;2;0.742494;0.395763
7;1;2;0.642134;0.160619
7;1;4;0.725916;0.288179
7;1;1;0.773946;0.390586
7;1;2;0.760921;0.298976
7;1;1;0.801638;0.257033
7;1;1;0.794988;0.29839
7;1;3;0.88467;0.317987
7;1;2;0.724762;0.309096
7;1;1;0.717612;0.232456
7;1;1;0.647461;0.159373
7;1;2;0.729664;0.33832
7;1;2;0.71608;0.353899
7;1;5;0.778559;0.132576
7;1;2;0.78482;0.296709
7;1;3;0.735206;0.281308
7;1;3;0.634116;0.310295
7;1;2;0.80384;0.359156
7;1;1;0.637471;0.254874
7;1;1;0.759323;0.24486
7;1;4;0.770796;0.368548
7;1;2;0.758854;0.379726
7;1;2;0.690765;0.269407
7;1;1;0.867236;0.354724
7;1;3;0.754693;0.450888
7;1;2;0.738417;0.267638
7;1;2;0.735967;0.248984
7;1;1;0.791395;0.239027
7;1;4;0.782294;0.384212
7;1;3;0.809129;0.430859
7;1;4;0.656662;0.224449
7;1;2;0.661499;0.236986
7;1;5;0.733964;0.26906
7;1;1;0.782259;0.270677
7;1;1;0.779536;0.345388
7;1;1;0.765988;0.359853
7;1;4;0.693894;0.262479
7;1;2;0.717951;0.303379
7;1;4;0.745872;0.30058
7;1;1;0.775429;0.216915
7;1;2;0.771741;0.340627
7;1;3;0.716489;0.236432
7;1;3;0.729506;0.134414
7;1;2;0.707835;0.453792
7;1;4;0.718804;0.26076
7;1;2;0.830532;0.357661
7;1;2;0.772891;0.281512
7;1;2;0.600296;0.335409
7;1;1;0.58917;0.186683
7;1;1;0.840455;0.274799
7;1;2;0.855413;0.349601
7;1;2;0.814987;0.281229
7;1;2;0.686845;0.189124
7;1;1;0.825997;0.240022
7;1;3;0.773295;0.320517
7;1;1;0.714564;0.357597
7;1;1;0.616746;0.276819
7;1;2;0.819027;0.265417
7;1;2;0.595522;0.285478
7;1;4;0.761703;0.275862
7;1;4;0.632718;0.234875
7;1;2;0.70997;0.333697
7;1;2;0.832951;0.364788
7;1;1;0.599181;0.184992
7;1;2;0.726791;0.381098
7;1;1;0.818474;0.215755
7;1;2;0.794164;0.200803
7;1;2;0.732935;0.281505
7;1;2;0.69818;0.30435
7;1;4;0.735134;0.477561
7;1;4;0.674349;0.276001
7;1;8;0.640637;0.29272
7;1;1;0.724349;0.285106
7;1;1;0.698412;0.232521
7;1;2;0.724428;0.314861
7;1;2;0.703694;0.240598
7;1;1;0.667715;0.166149
7;1;1;0.687225;0.237414
7;1;4;0.686743;0.196109
7;1;2;0.662921;0.328679
7;1;2;0.689172;0.310781
7;1;1;0.643144;0.272376
7;1;2;0.680244;0.328729
7;1;1;0.705811;0.264725
7;1;1;0.858375;0.29015
7;1;2;0.751758;0.164009
7;1;3;0.680942;0.163978
7;1;1;0.822741;0.293656
7;1;2;0.602752;0.336837
7;1;1;0.84275;0.288123
7;1;2;0.731788;0.216059
7;1;1;0.757796;0.28756
7;1;4;0.719179;0.347671
7;1;2;0.66365;0.236024
7;1;3;0.673031;0.287239
7;1;1;0.619738;0.27596
7;1;1;0.614075;0.240363
7;1;2;0.793095;0.464815
7;1;2;0.767069;0.340829
7;1;3;0.822199;0.338103
7;1;4;0.576896;0.158468
7;1;2;0.787867;0.200158
7;1;1;0.653475;0.202832
7;1;1;0.706357;0.377873
7;1;1;0.769257;0.35968
7;1;1;0.82321;0.414627
7;1;2;0.785401;0.28248
7;1;1;0.689826;0.318
7;1;2;0.561114;0.320657
7;1;4;0.754176;0.211894
7;1;2;0.699677;0.34863
7;1;2;0.722046;0.242103
7;1;2;0.653147;0.211096
7;1;2;0.66889;0.218908
7;1;1;0.734725;0.339631
7;1;2;0.67042;0.284209
7;1;2;0.68297;0.341025
7;1;4;0.762911;0.379895
7;1;1;0.79399;0.306502
7;1;4;0.831889;0.412367
7;1;4;0.65657;0.226097
7;1;6;0.657488;0.266426
7;1;2;0.72507;0.261043
7;1;4;0.796368;0.274235
7;1;6;0.600359;0.285258
7;1;2;0.694862;0.236348
7;1;4;0.701571;0.311684
7;1;4;0.680047;0.250731
7;1;2;0.777847;0.25747
7;1;1;0.718131;0.348746
7;1;2;0.710926;0.189784
7;1;2;0.679559;0.333637
7;1;2;0.657839;0.367738
7;1;1;0.766065;0.32865
7;1;3;0.641981;0.242144
7;1;1;0.741164;0.248117
7;1;4;0.679098;0.177491
7;1;2;0.664294;0.391311
7;1;2;0.700112;0.328599
7;1;2;0.700335;0.293929
7;1;2;0.703333;0.418798
7;1;4;0.696107;0.238151
7;1;2;0.730589;0.336683
7;1;4;0.749539;0.358153
7;1;2;0.660432;0.243153
7;1;1;0.670484;0.311137
7;1;3;0.607318;0.136317
7;1;2;0.719165;0.103845
7;1;4;0.706897;0.318375
7;1;1;0.695955;0.221539
7;1;1;0.730637;0.31538
7;1;1;0.629711;0.262773
7;1;2;0.576003;0.147684
7;1;4;0.63771;0.211511
7;1;1;0.643176;0.221574
7;1;4;0.69339;0.369092
7;1;3;0.733657;0.320746
7;1;2;0.7098;0.353373
7;1;2;0.711;0.269578
7;1;2;0.731127;0.303315
7;1;4;0.79971;0.35215
7;1;2;0.790621;0.339007
7;1;2;0.763839;0.307545
7;1;4;0.766897;0.420709
7;1;4;0.685325;0.348089
7;1;6;0.578342;0.294358
7;1;6;0.566582;0.257131
7;1;2;0.73583;0.154452
7;1;1;0.772162;0.343063
7;1;4;0.674129;0.348057
7;1;2;0.615458;0.220145
7;1;1;0.861099;0.355952
7;1;2;0.682587;0.242194
7;1;2;0.782054;0.383207
7;1;1;0.609939;0.252469
7;1;1;0.769342;0.258499
7;1;4;0.777038;0.232663
7;1;4;0.700795;0.25155
7;1;3;0.620863;0.182795
7;1;4;0.785141;0.330017
7;1;2;0.744098;0.276098
7;1;1;0.729679;0.254629
7;1;6;0.800089;0.48237
7;1;2;0.706648;0.244622
7;1;1;0.749376;0.333212
7;1;2;0.700425;0.127815
7;1;4;0.76094;0.202604
7;1;1;0.578147;0.154336
7;1;4;0.656685;0.222911
7;1;2;0.731768;0.37784
7;1;4;0.721047;0.29199
7;1;1;0.65137;0.252062
7;1;1;0.783602;0.380406
7;1;2;0.613437;0.16471
7;1;3;0.633339;0.282739
7;1;3;0.576702;0.350532
7;1;2;0.693572;0.354911
7;1;1;0.871224;0.282284
7;1;2;0.603424;0.282522
7;1;4;0.753065;0.299546
7;1;3;0.773713;0.343885
7;1;2;0.634917;0.246561
7;1;4;0.699664;0.307101
7;1;4;0.759421;0.261865
7;1;2;0.678392;0.268126
7;1;1;0.641731;0.247556
7;1;1;0.643963;0.211363
7;1;1;0.653292;0.308139
7;1;4;0.732428;0.36414
7;1;3;0.527602;0.177937
7;1;2;0.722186;0.25026
7;1;4;0.777782;0.328704
7;1;1;0.789887;0.201427
7;1;2;0.746454;0.216248
7;1;4;0.812542;0.440465
7;1;5;0.667857;0.292478
7;1;4;0.761601;0.390558
7;1;2;0.690558;0.382663
7;1;2;0.713162;0.285237
7;1;1;0.65061;0.313192
7;1;5;0.713029;0.372192
7;1;3;0.713049;0.186931
7;1;1;0.723289;0.325244
7;1;2;0.687301;0.14027
7;1;1;0.703793;0.402288
7;1;3;0.652524;0.243955
7;1;2;0.594167;0.183987
7;1;4;0.67311;0.237505
7;1;2;0.757147;0.26899
7;1;2;0.62708;0.281794
7;1;1;0.758589;0.312059
7;1;2;0.701358;0.384757
7;1;1;0.658392;0.355027
7;1;2;0.661404;0.227058
7;1;2;0.704951;0.31656
7;1;4;0.731376;0.204447
7;1;1;0.775847;0.343336
7;1;4;0.777822;0.32752
7;1;2;0.835874;0.498367
7;1;2;0.669182;0.324014
7;1;3;0.762826;0.329321
7;1;2;0.664822;0.260803
7;1;1;0.809919;0.246632
7;1;2;0.757899;0.272497
7;1;2;0.662608;0.227492
7;1;3;0.69299;0.279666
7;1;2;0.742166;0.19617
7;1;2;0.611607;0.204855
7;1;1;0.752007;0.279416
7;1;1;0.746075;0.244189
7;1;3;0.677386;0.236497
7;1;2;0.696068;0.36144
7;1;1;0.666305;0.261389
7;1;4;0.596711;0.204642
7;1;1;0.730138;0.374228
7;1;4;0.710377;0.345335
7;1;2;0.724445;0.283302
7;1;2;0.521247;0.276168
7;1;2;0.634428;0.347676
7;1;3;0.771697;0.309298
7;1;2;0.635798;0.312444
7;1;4;0.666427;0.274569
7;1;2;0.704621;0.351553
7;1;1;0.656978;0.208739
7;1;2;0.689571;0.161152
7;1;3;0.704733;0.253972
7;1;3;0.681516;0.253424
7;1;3;0.794846;0.213708
7;1;2;0.560524;0.278554
7;1;2;0.695352;0.31619
7;1;2;0.615751;0.26668
7;1;1;0.688924;0.327012
7;1;1;0.726149;0.332409
7;1;2;0.79872;0.238903
7;1;2;0.645478;0.216602
7;1;2;0.666825;0.442886
7;1;5;0.760418;0.211755
7;1;1;0.676499;0.311434
7;1;4;0.608337;0.276544
7;1;1;0.82251;0.292068
7;1;1;0.820208;0.356621
7;1;1;0.638558;0.262764
7;1;2;0.751868;0.381905
7;1;4;0.746676;0.28909
7;1;2;0.65651;0.309847
7;1;2;0.731771;0.310886
7;1;4;0.624869;0.277872
7;1;3;0.851389;0.263352
7;1;3;0.760128;0.268984
7;1;1;0.776949;0.321282
7;1;1;0.732173;0.307616
7;1;3;0.702042;0.287814
7;1;2;0.654964;0.248138
7;1;3;0.783779;0.284479
7;1;4;0.622124;0.132939
7;1;3;0.699405;0.342419
7;1;1;0.841965;0.286898
7;1;1;0.762165;0.194505
7;1;2;0.596249;0.274716
7;1;2;0.62165;0.167273
7;1;3;0.785409;0.330881
7;1;2;0.687903;0.212125
7;1;1;0.648094;0.222286
7;1;3;0.666236;0.295571
7;1;2;0.741373;0.398703
7;1;6;0.705679;0.324633
7;1;2;0.691791;0.407106
7;1;4;0.77331;0.45727
7;1;3;0.645451;0.256211
7;1;2;0.61719;0.28131
7;1;1;0.750356;0.232304
7;1;2;0.596756;0.249489
7;1;2;0.751647;0.224261
7;1;1;0.667706;0.138709
7;1;2;0.686122;0.309739
